"clave_mun","municipio","2017","2018","2019","2020","Ago-2021"
"107","TUXCUECA","0","0","0","0","0"
"108","TUXPAN","0","0","0","0","0"
"109","UNION DE SAN ANTONIO","0","1","0","0","0"
"110","UNION DE TULA","0","0","0","0","0"
"111","VALLE DE GUADALUPE","0","0","0","0","0"
"112","VALLE DE JUAREZ","0","0","0","0","0"
"113","SAN GABRIEL","0","0","0","0","0"
"114","VILLA CORONA","0","0","0","0","0"
"115","VILLA GUERRERO","0","0","0","0","0"
"116","VILLA HIDALGO","0","0","0","0","0"
"117","CAÑADAS DE OBREGON","0","0","0","0","0"
"118","YAHUALICA DE GONZALEZ GALLO","0","0","0","0","1"
"119","ZACOALCO DE TORRES","0","0","0","0","0"
"120","ZAPOPAN","1","3","3","13","7"
"121","ZAPOTILTIC","0","0","0","0","0"
"122","ZAPOTITLAN DE VADILLO","0","0","0","0","0"
"123","ZAPOTLAN DEL REY","0","0","0","0","0"
"124","ZAPOTLANEJO","0","0","2","1","0"
"125","SAN IGNACIO CERRO GORDO","0","0","0","0","0"
"999","N.D.","0","0","0","0","0"
